author,f0,f1,f2,f3,f4,f5
chenlujiu,0.000000,0.277181,0.003356,0.603875,0,0
KouMoSir,0.000000,0.226341,0.001951,0.483357,0,0
10tus,0.000000,0.306756,0.008521,0.641359,0,0
zrj66,0.046431,0.106210,0.005804,0.387279,0,1
caprisun,0.000000,0.395628,0.000546,0.875000,1,0
saksham_taneja_27,0.000000,0.295369,0.002503,0.682105,1,0
A1B_2C3,0.000000,0.233010,0.001618,0.537313,1,0
penmou,0.144013,0.033981,0.000000,0.423963,1,1
zrj66,0.087492,0.099815,0.007394,0.490358,0,1
yimg,0.066038,0.125786,0.000000,0.479070,0,1
SG2Alok,0.043279,0.147541,0.002623,0.368941,0,1
Ankit_singh_sisodya,0.000000,0.275385,0.006154,0.679587,1,0
Shiro_Oni,0.000000,0.399436,0.000940,0.938069,0,0
dakshat,0.000000,0.275307,0.000000,0.549853,0,0
HarshBoghani,0.000000,0.335423,0.004180,0.746350,0,0
dakshat,0.000000,0.379479,0.000000,0.825570,0,0
chenlujiu,0.000000,0.196691,0.005515,0.420366,0,0
alg0man,0.000000,0.173333,0.002614,0.328125,0,0
SG2Alok,0.090813,0.126394,0.002124,0.461957,0,1
caprisun,0.000000,0.446335,0.000654,1.087432,1,0
Black_King1,0.078838,0.060166,0.000000,0.335180,0,1
saksham_taneja_27,0.000000,0.239130,0.002717,0.520661,1,0
chenlujiu,0.000000,0.263909,0.007133,0.607798,0,0
KouMoSir,0.000000,0.269347,0.002010,0.537867,0,0
SG2Alok,0.045966,0.141651,0.003283,0.384416,0,1
Juliano1,0.077273,0.118182,0.004545,0.405751,0,1
KouMoSir,0.000000,0.302236,0.001278,0.643908,0,0
zrj66,0.049799,0.086747,0.008032,0.363636,0,1
Healexr,0.050296,0.091716,0.000000,0.352000,1,1
caprisun,0.000000,0.394026,0.000000,0.963687,1,0
alg0man,0.000000,0.309735,0.005900,0.784211,1,0
keaucucal,0.061810,0.152318,0.011038,0.540816,0,1
SG2Alok,0.020903,0.147993,0.003344,0.325942,0,1
10tus,0.000000,0.294382,0.005618,0.636029,0,0
HarshBoghani,0.000000,0.239470,0.005679,0.501777,0,0
lsr_czz,0.055641,0.063369,0.003091,0.291417,0,1
10tus,0.000000,0.394086,0.005432,0.895881,0,0
keaucucal,0.000000,0.243968,0.010724,0.594017,0,0
KouMoSir,0.000000,0.213163,0.003929,0.464748,0,0
KouMoSir,0.000000,0.268542,0.003410,0.568182,0,0
10tus,0.000000,0.309417,0.007848,0.708812,0,0
saksham_taneja_27,0.000000,0.260465,0.004651,0.666667,1,0
alg0man,0.000000,0.162679,0.004386,0.335463,0,0
A1B_2C3,0.000000,0.258467,0.000000,0.630814,1,0
penmou,0.048159,0.099150,0.000000,0.322097,0,1
unknown-name-user,0.056800,0.019802,0.000000,0.191925,1,1
chenlujiu,0.000000,0.205821,0.016632,0.503125,0,0
chenlujiu,0.000000,0.303258,0.005013,0.669456,0,0
Shiro_Oni,0.000000,0.318979,0.003190,0.699187,0,0
szx233,0.000000,0.276486,0.005168,0.599174,1,0
keaucucal,0.044543,0.104677,0.015590,0.420886,0,1
ttakk,0.000000,0.446571,0.001595,1.215548,0,0
abhijain565aj,0.000000,0.391670,0.002215,0.924126,1,0
unknown-name-user,0.050407,0.034146,0.000000,0.252546,1,1
SG2Alok,0.025954,0.130534,0.003817,0.313942,0,1
